Open,High,Low,Close,Adj Close,Volume,company_name,EMA_10,EMA_20,EMA_30,EMA_40,EMA_50,buy_signal,sell_signal,signal_EMA
150.1999969482422,151.3000030517578,148.41000366210938,148.47999572753906,147.69166564941406,58867200,APPLE,147.69166564941406,147.69166564941406,147.69166564941406,147.69166564941406,147.69166564941406,0,0,0
148.8699951171875,149.9499969482422,147.16000366210938,148.91000366210938,148.119384765625,51011300,APPLE,147.7694327614524,147.73240080333892,147.7192604311051,147.7125299965463,147.708438948089,1,0,1
150.08999633789062,150.33999633789062,147.24000549316406,149.39999389648438,148.60678100585938,48394200,APPLE,147.9216778967991,147.81567510834086,147.77651982302473,147.7561519970006,147.74366804839372,1,0,1
147.11000061035156,147.19000244140625,145.72000122070312,146.7100067138672,145.93106079101562,55469600,APPLE,147.55974751392938,147.63618803050036,147.6574579499919,147.66712315768424,147.6725854108495,0,1,0
147.7100067138672,149.1699981689453,147.4499969482422,147.9199981689453,147.1346435546875,44998500,APPLE,147.4824558849763,147.58842188994674,147.62372798900452,147.6411485429039,147.65148965178435,0,1,0
147.0500030517578,149.0800018310547,146.8300018310547,147.41000366210938,146.62734985351562,50547000,APPLE,147.32698206107435,147.49689121981044,147.55944552865043,147.5916949482996,147.6113273067542,0,1,0
146.8300018310547,147.22999572753906,145.00999450683594,145.30999755859375,144.5384979248047,55479000,APPLE,146.81998494538894,147.21513947742892,147.36454568324103,147.4427585081291,147.49082419373656,0,1,0
144.3800048828125,146.7100067138672,143.89999389648438,145.91000366210938,145.13531494140625,52238100,APPLE,146.51368130830116,147.01706095018866,147.22072434505813,147.3302002853621,147.39845128188045,0,1,0
148.0399932861328,151.11000061035156,147.3300018310547,151.02999877929688,150.22813415527344,70732300,APPLE,147.189036371387,147.32287744591102,147.41475078442687,147.47156291316264,147.50941923769977,0,1,0
153.7899932861328,156.3000030517578,153.4600067138672,153.8300018310547,153.0132598876953,87558000,APPLE,148.24798610162486,147.86481863084285,147.77594492012162,147.74188959484718,147.7252561259349,1,0,1
153.6999969482422,154.02999877929688,151.1300048828125,151.60000610351562,150.7951202392578,56182000,APPLE,148.7111013993763,148.14389497450142,147.97073042458203,147.89082767506233,147.84564295390834,1,0,1
152.80999755859375,153.47000122070312,151.8300018310547,152.8699951171875,152.05836486816406,47204800,APPLE,149.31969475733771,148.51670163104072,148.23444877578086,148.0941221722868,148.01084773485957,1,0,1
153.55999755859375,154.5399932861328,150.22999572753906,150.58999633789062,149.79046630859375,53833600,APPLE,149.4052895848388,148.63801255271244,148.33483700370428,148.1768706667408,148.08063669853541,1,0,1
150.2100067138672,150.94000244140625,147.61000061035156,148.5,147.7115478515625,68572400,APPLE,149.09733654242493,148.5497778192696,148.2946248003403,148.15417199282965,148.0661626261051,1,0,1
147.80999755859375,153.13999938964844,147.6999969482422,150.47000122070312,149.67111206054688,84457100,APPLE,149.20165936390163,148.6565715565341,148.38343043003104,148.22816906930365,148.12910181961263,1,0,1
151.27999877929688,153.39999389648438,150.10000610351562,152.58999633789062,151.77984619140625,73695900,APPLE,149.6704206052661,148.95402628366477,148.60255402753913,148.40142161184522,148.27226826556532,1,0,1
151.19000244140625,153.25,149.9199981689453,152.99000549316406,152.177734375,77167900,APPLE,150.1262958361268,149.26104610188716,148.83321082414952,148.5856319905357,148.42542379926866,1,0,1
152.16000366210938,156.4600067138672,151.63999938964844,155.85000610351562,155.0225372314453,76161100,APPLE,151.01652154436653,149.80975954279745,149.23252220526538,148.89962736814104,148.68413412994227,1,0,1
156.0800018310547,156.74000549316406,154.27999877929688,155.0,154.1770477294922,98944600,APPLE,151.59116266893483,150.2256917510541,149.55152385198969,149.15706250771913,148.89954250639522,1,0,1
155.07000732421875,157.82000732421875,154.14999389648438,157.39999389648438,156.56430053710938,73641400,APPLE,152.49536955405748,150.82936877829746,150.0039610574813,149.51839119207963,149.20012125269776,1,0,1
157.32000732421875,159.39999389648438,156.5399932861328,159.27999877929688,158.43431091308594,73938300,APPLE,153.5751770738808,151.55364898161065,150.54785459655255,149.95331410529943,149.56224633741888,1,0,1
159.3000030517578,162.13999938964844,157.80999755859375,157.8300018310547,156.9920196533203,75701800,APPLE,154.19642117923343,152.071589045583,150.96360718086015,150.2966655954468,149.853609996866,1,0,1
158.8300018310547,161.5500030517578,157.67999267578125,158.92999267578125,158.08616638183594,67622100,APPLE,154.90364757970661,152.64440593474995,151.4231271293102,150.67664124356332,150.1764553452962,1,0,1
158.86000061035156,160.33999633789062,157.85000610351562,160.25,159.39918518066406,59196500,APPLE,155.72101805260795,153.28771824388463,151.93771151972012,151.10213119171456,150.53813102511455,1,0,1
159.94000244140625,160.77000427246094,157.8699951171875,158.27999877929688,157.43963623046875,52390300,APPLE,156.03349408494626,153.6831390045117,152.29267440428458,151.41127777897086,150.80877828806962,1,0,1
157.97000122070312,158.49000549316406,155.97999572753906,157.64999389648438,156.81295776367188,45992200,APPLE,156.17521475380545,153.9812169815746,152.5843055887612,151.67477436359042,151.04423630672068,1,0,1
159.3699951171875,161.0500030517578,159.35000610351562,160.77000427246094,159.9164276123047,51305700,APPLE,156.85543527353258,154.5464751368822,153.05734571931242,152.07680622938133,151.3921653775279,1,0,1
161.52999877929688,162.47000122070312,161.27000427246094,162.36000061035156,161.49798583984375,49501700,APPLE,157.69953537649823,155.2085237752595,153.60190314644348,152.53637596647704,151.78847206232462,1,0,1
