Date,Open,High,Low,Close,Adj Close,Volume,company_name,RSI,buy_signal,sell_signal,signal
2/21/2023,150.1999969,151.3000031,148.4100037,148.4799957,147.6916656,58867200,APPLE,,0,0,0
2/22/2023,148.8699951,149.9499969,147.1600037,148.9100037,148.1193848,51011300,APPLE,,0,0,0
2/23/2023,150.0899963,150.3399963,147.2400055,149.3999939,148.606781,48394200,APPLE,,0,0,0
2/24/2023,147.1100006,147.1900024,145.7200012,146.7100067,145.9310608,55469600,APPLE,,0,0,0
2/27/2023,147.7100067,149.1699982,147.4499969,147.9199982,147.1346436,44998500,APPLE,,0,0,0
2/28/2023,147.0500031,149.0800018,146.8300018,147.4100037,146.6273499,50547000,APPLE,,0,0,0
3/1/2023,146.8300018,147.2299957,145.0099945,145.3099976,144.5384979,55479000,APPLE,,0,0,0
3/2/2023,144.3800049,146.7100067,143.8999939,145.9100037,145.1353149,52238100,APPLE,,0,0,0
3/3/2023,148.0399933,151.1100006,147.3300018,151.0299988,150.2281342,70732300,APPLE,,0,0,0
3/6/2023,153.7899933,156.3000031,153.4600067,153.8300018,153.0132599,87558000,APPLE,,0,0,0
3/7/2023,153.6999969,154.0299988,151.1300049,151.6000061,150.7951202,56182000,APPLE,,0,0,0
3/8/2023,152.8099976,153.4700012,151.8300018,152.8699951,152.0583649,47204800,APPLE,,0,0,0
3/9/2023,153.5599976,154.5399933,150.2299957,150.5899963,149.7904663,53833600,APPLE,,0,0,0
3/10/2023,150.2100067,150.9400024,147.6100006,148.5,147.7115479,68572400,APPLE,43.18325306,0,0,0
3/13/2023,147.8099976,153.1399994,147.6999969,150.4700012,149.6711121,84457100,APPLE,47.32509125,0,0,0
3/14/2023,151.2799988,153.3999939,150.1000061,152.5899963,151.7798462,73695900,APPLE,51.03824412,0,0,0
3/15/2023,151.1900024,153.25,149.9199982,152.9900055,152.1777344,77167900,APPLE,66.49848894,0,0,0
3/16/2023,152.1600037,156.4600067,151.6399994,155.8500061,155.0225372,76161100,APPLE,62.56657247,0,0,0
3/17/2023,156.0800018,156.7400055,154.2799988,155,154.1770477,98944600,APPLE,58.12324002,0,0,0
3/20/2023,155.0700073,157.8200073,154.1499939,157.3999939,156.5643005,73641400,APPLE,68.95778195,0,0,0
3/21/2023,157.3200073,159.3999939,156.5399933,159.2799988,158.4343109,73938300,APPLE,63.61375972,0,0,0
3/22/2023,159.3000031,162.1399994,157.8099976,157.8300018,156.9920197,75701800,APPLE,58.91436226,0,0,0
3/23/2023,158.8300018,161.5500031,157.6799927,158.9299927,158.0861664,67622100,APPLE,60.52884187,0,0,0
3/24/2023,158.8600006,160.3399963,157.8500061,160.25,159.3991852,59196500,APPLE,60.85065005,0,0,0
3/27/2023,159.9400024,160.7700043,157.8699951,158.2799988,157.4396362,52390300,APPLE,57.85984674,0,0,0
3/28/2023,157.9700012,158.4900055,155.9799957,157.6499939,156.8129578,45992200,APPLE,67.80943368,0,0,0
3/29/2023,159.3699951,161.0500031,159.3500061,160.7700043,159.9164276,51305700,APPLE,74.83471054,0,-1,0
3/30/2023,161.5299988,162.4700012,161.2700043,162.3600006,161.4979858,49501700,APPLE,74.37161977,0,-1,0
3/31/2023,162.4400024,165,161.9100037,164.8999939,164.0244751,68749800,APPLE,68.17962625,0,0,0
4/3/2023,164.2700043,166.2899933,164.2200012,166.1699982,165.2877502,56976200,APPLE,68.51408758,0,0,0
4/4/2023,166.6000061,166.8399963,165.1100006,165.6300049,164.7506256,46278300,APPLE,52.65796747,0,0,0
4/5/2023,164.7400055,165.0500031,161.8000031,163.7599945,162.8905334,51511700,APPLE,57.84957343,0,0,0
4/6/2023,162.4299927,164.9600067,162,164.6600037,163.7857666,45390100,APPLE,61.93789885,0,0,0
4/10/2023,161.4199982,162.0299988,160.0800018,162.0299988,161.1697235,47716900,APPLE,48.08651556,0,0,0
4/11/2023,162.3500061,162.3600006,160.5099945,160.8000031,159.9462585,47644200,APPLE,47.61121492,0,0,0
4/12/2023,161.2200012,162.0599976,159.7799988,160.1000061,159.2499847,50133100,APPLE,58.10277607,0,0,0
4/13/2023,161.6300049,165.8000031,161.4199982,165.5599976,164.6809692,68445600,APPLE,59.82064413,0,0,0
4/14/2023,164.5899963,166.3200073,163.8200073,165.2100067,164.33284,49386500,APPLE,60.47236995,0,0,0
4/17/2023,165.0899963,165.3899994,164.0299988,165.2299957,164.3527374,41516200,APPLE,61.45835601,0,0,0
4/18/2023,166.1000061,167.4100037,165.6499939,166.4700012,165.5861664,49923000,APPLE,59.61083889,0,0,0
4/19/2023,165.8000031,168.1600037,165.5399933,167.6300049,166.7400055,47720200,APPLE,54.56839772,0,0,0
4/20/2023,166.0899963,167.8699951,165.5599976,166.6499939,165.7651978,52456400,APPLE,58.46793046,0,0,0
4/21/2023,165.0500031,166.4499969,164.4900055,165.0200043,164.1438599,58337300,APPLE,58.82079376,0,0,0
4/24/2023,165,165.6000061,163.8899994,165.3300018,164.4522095,41949600,APPLE,47.08122307,0,0,0
4/25/2023,165.1900024,166.3099976,163.7299957,163.7700043,162.9004822,48714100,APPLE,58.36208059,0,0,0
4/26/2023,163.0599976,165.2799988,162.8000031,163.7599945,162.8905334,45498800,APPLE,64.32792429,0,0,0
4/27/2023,165.1900024,168.5599976,165.1900024,168.4100037,167.5158539,64902300,APPLE,55.23292783,0,0,0
4/28/2023,168.4900055,169.8500061,167.8800049,169.6799927,168.7791138,55209200,APPLE,53.27794017,0,0,0
5/1/2023,169.2799988,170.4499969,168.6399994,169.5899963,168.6895905,52472900,APPLE,59.06816382,0,0,0
5/2/2023,170.0899963,170.3500061,167.5399933,168.5399933,167.6451416,48425700,APPLE,52.27852777,0,0,0
5/3/2023,169.5,170.9199982,167.1600037,167.4499969,166.5609436,65136000,APPLE,52.69244375,0,0,0
5/4/2023,164.8899994,167.0399933,164.3099976,165.7899933,164.9097443,81235400,APPLE,55.01719236,0,0,0
5/5/2023,170.9799957,174.3000031,170.7599945,173.5700073,172.6484528,113316400,APPLE,56.12209253,0,0,0
5/8/2023,172.4799957,173.8500061,172.1100006,173.5,172.5788269,55962800,APPLE,54.19985421,0,0,0
5/9/2023,173.0500031,173.5399933,171.6000061,171.7700043,170.858017,45326900,APPLE,60.39088846,0,0,0
5/10/2023,173.0200043,174.0299988,171.8999939,173.5599976,172.638504,53724500,APPLE,58.83548139,0,0,0
5/11/2023,173.8500061,174.5899963,172.1699982,173.75,172.8274994,49514700,APPLE,56.59395014,0,0,0
5/12/2023,173.6199951,174.0599976,171,172.5700073,171.8911896,45497800,APPLE,65.40521474,0,0,0
5/15/2023,173.1600037,173.2100067,171.4700012,172.0700073,171.3931732,37266700,APPLE,65.14388825,0,0,0
5/16/2023,171.9900055,173.1399994,171.8000031,172.0700073,171.3931732,42110300,APPLE,61.33280644,0,0,0
5/17/2023,171.7100067,172.9299927,170.4199982,172.6900024,172.0107269,57951600,APPLE,77.20653539,0,-1,0
5/18/2023,173,175.2400055,172.5800018,175.0500031,174.3614349,65496700,APPLE,82.50915597,0,-1,0
5/19/2023,176.3899994,176.3899994,174.9400024,175.1600037,174.4710236,55772400,APPLE,76.46512763,0,-1,0
5/22/2023,173.9799957,174.7100067,173.4499969,174.1999969,173.5147858,43570900,APPLE,76.37208451,0,-1,0
5/23/2023,173.1300049,173.3800049,171.2799988,171.5599976,170.8851776,50747300,APPLE,77.82627229,0,-1,0
5/24/2023,171.0899963,172.4199982,170.5200043,171.8399963,171.1640625,45143500,APPLE,70.30433986,0,-1,0
5/25/2023,172.4100037,173.8999939,171.6900024,172.9900055,172.3095398,56058300,APPLE,75.55475578,0,-1,0
5/26/2023,173.3200073,175.7700043,173.1100006,175.4299927,174.7399445,54835000,APPLE,76.20208801,0,-1,0
5/30/2023,176.9600067,178.9900055,176.5700073,177.3000031,176.6025848,55964400,APPLE,69.82067289,0,0,0
5/31/2023,177.3300018,179.3500061,176.7599945,177.25,176.5527954,99625300,APPLE,70.04921407,0,-1,0
6/1/2023,177.6999969,180.1199951,176.9299927,180.0899963,179.3816071,68901800,APPLE,76.93491162,0,-1,0
6/2/2023,181.0299988,181.7799988,179.2599945,180.9499969,180.2382202,61945900,APPLE,77.03220258,0,-1,0
6/5/2023,182.6300049,184.9499969,178.0399933,179.5800018,178.8736115,121946500,APPLE,76.22071021,0,-1,0
